ID;Name;Number;Set;Series;Rarity;HP;Type;Artist;Release Date;Average Price;Count;Finish Type;Reverse Holo;Language
SV5M_jp_79;ドリュウズ;79/100;Cyber Judge;Scarlet & Violet;Illustration Rare;130;Pokémon;Saboteri;2024-01-26T00:00:00Z;2,81;1;HOLOFOIL;No;JA
SIT_int_140;Ho-Oh V;140/245;Silver Tempest;Sword & Shield;Double Rare;230;Pokémon;AKIRA EGAWA;2022-11-11T00:00:00Z;4,77;1;HOLOFOIL;No;EN
CRE_int_124;Tornadus V;124/233;Chilling Reign;Sword & Shield;Double Rare;210;Pokémon;PLANETA Mochizuki;2021-06-18T00:00:00Z;0,84;1;HOLOFOIL;No;EN
PBL_int_86;Armarouge;086/120;Pitch Black;Mega;Illustration Rare;140;Pokémon;Iwamoto05;2026-07-17T00:00:00Z;5,57;1;HOLOFOIL;No;EN
SPD_jp_7;デオキシスVSTAR;7/21;VSTAR&VMAX High-Class Deck Deoxys;Sword & Shield;Unknown;270;Pokémon;5ban Graphics;2022-07-15T00:00:00Z;3,12;1;HOLOFOIL;No;JA
FST_int_120;Deoxys;120/284;Fusion Strike;Sword & Shield;Holo Rare;120;Pokémon;Kouki Saitou;2021-11-12T00:00:00Z;0,26;1;HOLOFOIL;No;JA
FST_int_120;Deoxys;120/284;Fusion Strike;Sword & Shield;Holo Rare;120;Pokémon;Kouki Saitou;2021-11-12T00:00:00Z;0,26;1;HOLOFOIL;No;EN
PAR_int_74;Deoxys;74/266;Paradox Rift;Scarlet & Violet;Rare;120;Pokémon;Saya Tsuruta;2023-11-03T00:00:00Z;0,24;1;HOLOFOIL;No;EN
S12a_jp_60;Deoxys;60/254;VSTAR Universe;Sword & Shield;Rare;120;Pokémon;Souichirou Gunjima;2022-12-02T00:00:00Z;0,15;1;HOLOFOIL;No;EN
CES_int_68;Deoxys;68/183;Celestial Storm;Sun & Moon;Rare;130;Pokémon;Ayaka Yoshida;2018-08-03T00:00:00Z;0,57;1;NORMAL;No;EN
DP5_jp_DPBP#446;Deoxys Defense Forme;DPBP#446/154;Temple of Anger;Diamond & Pearl;Rare;100;Pokémon;Kazuaki Aihara;2008-03-14T00:00:00Z;9,33;1;FIRST_EDITION;No;EN
SPD_jp_6;デオキシスVMAX;6/21;VSTAR&VMAX High-Class Deck Deoxys;Sword & Shield;Unknown;330;Pokémon;N-DESIGN Inc.;2022-07-15T00:00:00Z;3,78;1;HOLOFOIL;No;JA
SPD_jp_5;デオキシスV;5/21;VSTAR&VMAX High-Class Deck Deoxys;Sword & Shield;Unknown;210;Pokémon;N-DESIGN Inc.;2022-07-15T00:00:00Z;1,16;1;HOLOFOIL;No;JA
S9_jp_84;アルセウスVSTAR;84/127;Star Birth;Sword & Shield;Triple Rare;280;Pokémon;5ban Graphics;2022-01-14T00:00:00Z;1,32;1;HOLOFOIL;No;JA
BRS_int_122;Arceus V;122/224;Brilliant Stars;Sword & Shield;Double Rare;220;Pokémon;N-DESIGN Inc.;2022-02-25T00:00:00Z;2,34;1;HOLOFOIL;No;EN
BW4_jp_47;ワルビアル;47/69;Dark Rush;Black & White;Rare;150;Pokémon;5ban Graphics;2011-12-16T00:00:00Z;3,35;1;FIRST_EDITION_HOLO;No;JA
PLF_int_70;Krookodile;70/122;Plasma Freeze;Black & White;Rare;140;Pokémon;5ban Graphics;2013-05-08T00:00:00Z;3,44;1;NORMAL;No;EN
BLK_int_158;Zekrom ex;158/172;Black Bolt;Scarlet & Violet;Ultra Rare;230;Pokémon;takuyoa;2025-07-18T00:00:00Z;4,20;1;HOLOFOIL;No;EN
ROS_int_64;Zekrom;64/110;Roaring Skies;XY;Holo Rare;130;Pokémon;kawayoo;2015-05-06T00:00:00Z;1,83;1;HOLOFOIL;No;EN
CEL_int_10;Zekrom;10/50;Celebrations;Sword & Shield;Rare;130;Pokémon;Aya Kusube;2021-10-08T00:00:00Z;0,29;1;HOLOFOIL;No;EN
SV11W_jp_160;レシラムex;160/174;White Flare;Scarlet & Violet;Secret Rare;230;Pokémon;5ban Graphics;2025-06-06T00:00:00Z;2,56;1;HOLOFOIL;No;JA
SIT_int_24;Reshiram V;24/245;Silver Tempest;Sword & Shield;Double Rare;220;Pokémon;N-DESIGN Inc.;2022-11-11T00:00:00Z;1,19;1;HOLOFOIL;No;EN
SHF_int_17;Reshiram;17/195;Shining Fates;Sword & Shield;Amazing Rare;120;Pokémon;PLANETA Tsuji;2021-02-19T00:00:00Z;3,64;1;HOLOFOIL;No;EN
ROS_int_63;Reshiram;63/110;Roaring Skies;XY;Holo Rare;130;Pokémon;Kouki Saitou;2015-05-06T00:00:00Z;3,70;1;HOLOFOIL;No;EN
CEL_int_2;Reshiram;2/50;Celebrations;Sword & Shield;Rare;130;Pokémon;Aya Kusube;2021-10-08T00:00:00Z;0,25;1;HOLOFOIL;No;EN
PFL_int_17;Reshiram;17/130;Phantasmal Flames;Mega;Rare;130;Pokémon;AKIRA EGAWA;2025-11-14T00:00:00Z;0,13;1;HOLOFOIL;No;EN
SCR_int_22;Reshiram;22/175;Stellar Crown;Scarlet & Violet;Uncommon;130;Pokémon;Iwamoto05;2024-09-13T00:00:00Z;0,09;1;NORMAL;No;EN
